1.png	2:83,202:133;12:343,212:393;648:316,848:366;4:485,204:535
93.png	472:385,672:435;35:466,235:516;561:324,761:374
94.png	508:412,708:462;425:308,625:358;274:476,474:526
95.png	520:354,720:404;62:463,262:513;605:448,805:498
96.png	63:488,263:538;460:394,660:444;594:480,794:530
97.png	543:292,743:342;107:472,307:522;443:442,643:492
98.png	620:399,820:449;157:453,357:503;560:474,760:524
99.png	588:458,788:508;506:365,706:415;136:463,336:513
101.png	91:403,291:453;428:386,628:436;611:467,811:517;252:487,452:537
102.png	400:403,600:453;22:422,222:472;648:412,848:462;414:468,614:518
103.png	539:385,739:435;71:418,271:468;89:482,289:532;318:446,518:496
104.png	234:394,434:444;235:478,435:528;27:395,227:445;572:404,772:454
105.png	179:457,379:507;334:403,534:453;419:467,619:517;634:442,834:492
106.png	116:482,316:532;646:465,846:515;325:376,525:426;432:475,632:525
107.png	94:392,294:442;46:460,246:510;638:385,838:435;429:476,629:526
108.png	116:487,316:537;350:460,550:510;208:398,408:448;612:455,812:505
109.png	207:465,407:515;131:388,331:438;368:399,568:449;456:476,656:526
111.png	634:180,834:230;17:405,217:455;10:85,210:135;642:50,842:100;643:310,843:360;46:475,246:525;601:462,801:512
112.png	644:53,844:103;22:304,222:354;639:175,839:225;4:380,204:430;29:447,229:497;629:331,829:381;21:141,221:191
113.png	638:162,838:212;12:165,212:215;642:280,842:330;43:420,243:470;630:477,830:527;647:341,847:391;41:233,241:283
114.png	31:410,231:460;616:11,816:61;599:225,799:275;15:157,215:207;599:388,799:438;35:15,235:65;631:318,831:368
115.png	2:213,202:263;616:185,816:235;2:57,202:107;33:270,233:320;642:15,842:65;599:285,799:335;34:143,234:193
116.png	624:388,824:438;49:58,249:108;44:233,244:283;34:362,234:412;19:439,219:489;647:16,847:66;12:133,212:183
117.png	46:381,246:431;648:221,848:271;39:31,239:81;600:342,800:392;605:163,805:213;52:329,252:379;50:207,250:257
118.png	54:111,254:161;615:197,815:247;614:394,814:444;609:283,809:333;4:233,204:283;641:446,841:496;606:59,806:109
119.png	49:308,249:358;54:434,254:484;635:297,835:347;6:52,206:102;46:249,246:299;35:175,235:225;636:88,836:138
121.png	138:400,338:450;589:383,789:433;47:337,247:387
122.png	491:343,691:393;236:350,436:400;13:358,213:408
123.png	153:411,353:461;487:382,687:432;186:360,386:410
124.png	366:360,566:410;134:396,334:446;615:393,815:443
125.png	623:403,823:453;175:354,375:404;385:385,585:435
126.png	622:355,822:405;159:361,359:411;366:382,566:432
127.png	649:349,849:399;305:346,505:396;29:366,229:416
128.png	15:345,215:395;380:366,580:416;639:411,839:461
129.png	294:375,494:425;621:388,821:438;88:363,288:413
131.png	5:428,205:478;20:77,220:127;624:456,824:506;638:57,838:107;612:262,812:312
132.png	4:103,204:153;627:479,827:529;14:156,214:206;36:50,236:100;15:459,215:509
133.png	623:417,823:467;632:325,832:375;34:449,234:499;622:160,822:210;22:55,222:105
134.png	23:488,223:538;633:222,833:272;638:488,838:538;39:373,239:423;623:44,823:94
135.png	628:64,828:114;619:366,819:416;645:253,845:303;621:424,821:474;605:131,805:181
136.png	43:439,243:489;615:366,815:416;44:25,244:75;613:116,813:166;628:219,828:269
137.png	29:424,229:474;15:350,215:400;645:231,845:281;38:29,238:79;649:456,849:506
138.png	23:425,223:475;638:413,838:463;629:209,829:259;42:217,242:267;617:276,817:326
139.png	605:20,805:70;39:207,239:257;638:79,838:129;614:164,814:214;0:352,200:402
141.png	559:447,759:497;215:418,415:468
142.png	465:449,665:499;114:445,314:495
143.png	331:444,531:494;598:486,798:536
144.png	319:471,519:521;629:443,829:493
145.png	225:441,425:491;507:483,707:533
146.png	42:443,242:493;472:489,672:539
147.png	82:470,282:520;343:425,543:475
148.png	493:402,693:452;265:405,465:455
149.png	602:453,802:503;114:446,314:496
151.png	401:245,601:295;645:418,845:468;313:430,513:480;604:343,804:393;649:254,849:304
152.png	369:249,569:299;411:105,611:155;594:340,794:390;208:417,408:467;635:147,835:197
153.png	609:456,809:506;102:452,302:502;380:347,580:397;321:453,521:503;546:139,746:189
154.png	500:217,700:267;531:333,731:383;211:124,411:174;521:422,721:472;308:485,508:535
155.png	161:467,361:517;471:117,671:167;578:445,778:495;531:334,731:384;169:128,369:178
156.png	76:77,276:127;419:386,619:436;369:476,569:526;582:286,782:336;286:122,486:172
157.png	537:249,737:299;280:468,480:518;621:171,821:221;485:369,685:419;570:81,770:131
158.png	539:370,739:420;274:76,474:126;529:458,729:508;13:444,213:494;451:133,651:183
159.png	361:195,561:245;317:480,517:530;507:401,707:451;331:88,531:138;0:101,200:151
161.png	441:36,641:86;43:27,243:77;393:466,593:516;229:86,429:136;644:410,844:460;14:98,214:148;23:348,223:398;16:272,216:322
162.png	1:217,201:267;227:401,427:451;125:82,325:132;330:465,530:515;25:427,225:477;495:14,695:64;19:273,219:323;535:83,735:133
163.png	396:417,596:467;22:373,222:423;223:86,423:136;634:281,834:331;426:82,626:132;311:22,511:72;161:465,361:515;630:34,830:84
164.png	135:23,335:73;31:88,231:138;214:473,414:523;600:303,800:353;619:444,819:494;647:55,847:105;642:206,842:256;542:0,742:50
165.png	230:71,430:121;624:233,824:283;72:427,272:477;485:83,685:133;529:31,729:81;305:442,505:492;599:395,799:445;44:140,244:190
166.png	319:465,519:515;526:74,726:124;633:325,833:375;53:444,253:494;32:365,232:415;564:488,764:538;419:11,619:61;46:218,246:268
167.png	211:453,411:503;385:1,585:51;46:372,246:422;639:248,839:298;337:60,537:110;563:63,763:113;540:486,740:536;602:340,802:390
168.png	184:82,384:132;615:260,815:310;418:484,618:534;563:66,763:116;633:394,833:444;641:161,841:211;306:414,506:464;50:403,250:453
169.png	16:86,216:136;632:19,832:69;430:480,630:530;62:423,262:473;1:283,201:333;315:28,515:78;35:25,235:75;535:407,735:457
171.png	449:9,649:59
172.png	353:28,553:78
173.png	297:31,497:81
174.png	480:30,680:80
175.png	475:16,675:66
176.png	573:21,773:71
177.png	647:30,847:80
178.png	559:0,759:50
179.png	545:32,745:82
181.png	626:54,826:104
182.png	574:325,774:375
183.png	364:0,564:50
184.png	568:15,768:65
185.png	571:222,771:272
186.png	577:337,777:387
187.png	516:487,716:537
188.png	588:2,788:52
189.png	568:16,768:66
191.png	642:394,842:444;46:109,246:159;226:30,426:80;338:120,538:170;213:396,413:446;648:458,848:508
192.png	202:401,402:451;407:365,607:415;260:97,460:147;622:94,822:144;26:108,226:158;86:35,286:85
193.png	433:131,633:181;635:43,835:93;561:437,761:487;210:100,410:150;201:23,401:73;48:454,248:504
194.png	67:480,267:530;572:381,772:431;11:298,211:348;483:459,683:509;264:111,464:161;145:52,345:102
195.png	333:8,533:58;545:114,745:164;221:81,421:131;4:396,204:446;530:432,730:482;477:486,677:536
196.png	35:369,235:419;496:61,696:111;522:467,722:517;362:129,562:179;552:416,752:466;145:487,345:537
197.png	174:376,374:426;42:24,242:74;251:473,451:523;79:88,279:138;406:388,606:438;640:316,840:366
198.png	393:403,593:453;63:400,263:450;553:458,753:508;248:58,448:108;473:80,673:130;645:144,845:194
199.png	207:474,407:524;476:362,676:412;491:48,691:98;260:412,460:462;326:109,526:159;643:248,843:298
201.png	37:477,237:527;600:469,800:519
202.png	497:481,697:531;82:486,282:536
203.png	554:488,754:538;49:474,249:524
204.png	555:468,755:518;336:470,536:520
205.png	80:467,280:517;298:487,498:537
206.png	156:467,356:517;421:482,621:532
207.png	217:488,417:538;506:459,706:509
208.png	411:485,611:535;91:456,291:506
209.png	300:488,500:538;552:459,752:509
211.png	627:200,827:250;561:356,761:406;84:224,284:274
212.png	624:112,824:162;97:265,297:315;541:418,741:468
213.png	526:475,726:525;72:94,272:144;252:480,452:530
214.png	18:139,218:189;60:487,260:537;564:226,764:276
215.png	547:123,747:173;94:126,294:176;613:396,813:446
216.png	65:263,265:313;629:259,829:309;27:113,227:163
217.png	558:373,758:423;5:316,205:366;546:111,746:161
218.png	586:167,786:217;317:447,517:497;595:408,795:458
219.png	106:488,306:538;28:179,228:229;45:292,245:342
221.png	287:474,487:524;499:410,699:460
222.png	222:205,422:255;81:346,281:396
223.png	112:430,312:480;289:259,489:309
224.png	630:158,830:208;395:230,595:280
225.png	214:269,414:319;524:410,724:460
226.png	533:188,733:238;169:174,369:224
227.png	242:275,442:325;357:433,557:483
228.png	0:181,200:231;529:67,729:117
229.png	316:444,516:494;292:54,492:104
231.png	48:72,248:122;353:6,553:56
232.png	448:467,648:517;8:17,208:67
233.png	494:453,694:503;609:35,809:85
234.png	403:470,603:520;643:45,843:95
235.png	604:482,804:532;566:6,766:56
236.png	100:13,300:63;529:479,729:529
237.png	30:46,230:96;368:2,568:52
238.png	111:14,311:64;592:22,792:72
239.png	626:8,826:58;624:476,824:526
241.png	646:481,846:531;122:371,322:421
242.png	324:473,524:523;64:464,264:514
243.png	74:421,274:471;586:458,786:508
244.png	26:387,226:437;73:443,273:493
245.png	313:405,513:455;637:402,837:452
246.png	627:377,827:427;102:460,302:510
247.png	584:399,784:449;43:437,243:487
248.png	49:376,249:426;128:474,328:524
249.png	97:381,297:431;149:486,349:536
251.png	103:438,303:488;43:356,243:406
252.png	83:14,283:64;0:303,200:353
253.png	73:37,273:87;105:297,305:347
254.png	24:34,224:84;105:312,305:362
255.png	111:405,311:455;122:13,322:63
256.png	79:446,279:496;137:92,337:142
257.png	35:483,235:533;83:407,283:457
258.png	112:376,312:426;110:94,310:144
259.png	37:41,237:91;20:456,220:506
261.png	203:228,403:278;99:85,299:135;446:24,646:74;575:229,775:279;31:153,231:203
262.png	526:225,726:275;410:47,610:97;286:181,486:231;32:6,232:56;558:171,758:221
263.png	37:216,237:266;155:59,355:109;425:198,625:248;75:134,275:184;641:2,841:52
264.png	145:97,345:147;641:487,841:537;45:227,245:277;148:165,348:215;0:32,200:82
265.png	408:194,608:244;430:5,630:55;515:115,715:165;150:49,350:99;109:158,309:208
266.png	218:108,418:158;302:196,502:246;572:156,772:206;572:43,772:93;642:276,842:326
267.png	78:200,278:250;368:29,568:79;344:127,544:177;150:4,350:54;106:57,306:107
268.png	598:139,798:189;250:36,450:86;72:87,272:137;465:87,665:137;634:228,834:278
269.png	45:87,245:137;62:0,262:50;420:124,620:174;56:213,256:263;404:5,604:55
271.png	514:10,714:60;291:294,491:344;141:346,341:396
272.png	414:17,614:67;357:341,557:391;519:282,719:332
273.png	89:280,289:330;555:318,755:368;378:13,578:63
274.png	10:8,210:58;102:289,302:339;578:303,778:353
275.png	62:271,262:321;52:20,252:70;537:355,737:405
276.png	610:19,810:69;8:351,208:401;73:295,273:345
277.png	60:281,260:331;395:322,595:372;320:19,520:69
278.png	431:19,631:69;441:286,641:336;63:315,263:365
279.png	604:353,804:403;42:352,242:402;521:280,721:330
281.png	123:14,323:64;197:487,397:537
282.png	152:78,352:128;143:163,343:213
283.png	357:30,557:80;123:142,323:192
284.png	394:98,594:148;437:171,637:221
285.png	544:55,744:105;511:163,711:213
286.png	424:179,624:229;644:108,844:158
287.png	504:175,704:225;84:39,284:89
288.png	517:30,717:80;131:19,331:69
289.png	334:56,534:106;138:155,338:205
291.png	79:469,279:519;628:288,828:338;405:489,605:539;9:2,209:52;11:403,211:453;51:276,251:326
292.png	21:9,221:59;4:100,204:150;47:165,247:215;641:466,841:516;10:373,210:423;35:435,235:485
293.png	611:194,811:244;631:428,831:478;613:111,813:161;634:13,834:63;11:119,211:169;312:469,512:519
294.png	6:382,206:432;146:467,346:517;28:291,228:341;429:487,629:537;625:40,825:90;25:222,225:272
295.png	635:438,835:488;620:235,820:285;323:489,523:539;26:481,226:531;615:139,815:189;42:158,242:208
296.png	311:480,511:530;628:411,828:461;47:326,247:376;45:185,245:235;648:485,848:535;32:34,232:84
297.png	74:464,274:514;13:290,213:340;3:62,203:112;542:472,742:522;630:155,830:205;626:22,826:72
298.png	621:437,821:487;43:128,243:178;129:462,329:512;626:315,826:365;44:13,244:63;612:50,812:100
299.png	361:478,561:528;43:410,243:460;129:489,329:539;20:74,220:124;647:3,847:53;638:208,838:258
301.png	473:470,673:520
302.png	88:434,288:484
303.png	608:428,808:478
304.png	275:468,475:518
305.png	375:450,575:500
306.png	585:466,785:516
307.png	37:445,237:495
308.png	645:465,845:515
309.png	647:425,847:475
311.png	341:43,541:93;105:74,305:124
312.png	115:7,315:57;568:53,768:103
313.png	184:42,384:92;605:17,805:67
314.png	261:57,461:107;507:47,707:97
315.png	129:43,329:93;396:49,596:99
316.png	42:51,242:101;294:13,494:63
317.png	160:58,360:108;475:73,675:123
318.png	347:7,547:57;638:23,838:73
319.png	459:67,659:117;36:57,236:107
321.png	20:32,220:82;634:422,834:472;633:90,833:140;45:472,245:522;307:473,507:523;628:267,828:317
322.png	627:324,827:374;370:489,570:539;624:230,824:280;622:164,822:214;627:111,827:161;5:364,205:414
323.png	33:144,233:194;648:239,848:289;617:83,817:133;31:306,231:356;0:234,200:284;35:411,235:461
324.png	338:463,538:513;37:148,237:198;594:482,794:532;135:488,335:538;31:93,231:143;624:46,824:96
325.png	437:483,637:533;128:479,328:529;647:360,847:410;629:145,829:195;20:368,220:418;0:275,200:325
326.png	27:166,227:216;13:259,213:309;25:467,225:517;475:474,675:524;639:238,839:288;641:4,841:54
327.png	641:399,841:449;32:237,232:287;47:476,247:526;21:397,221:447;256:467,456:517;630:123,830:173
328.png	129:481,329:531;29:381,229:431;476:464,676:514;29:329,229:379;37:122,237:172;633:38,833:88
329.png	45:481,245:531;4:390,204:440;629:85,829:135;598:471,798:521;17:82,217:132;12:184,212:234
331.png	79:467,279:517;15:344,215:394;607:464,807:514;12:74,212:124;25:412,225:462;624:305,824:355;632:42,832:92
332.png	57:466,257:516;648:33,848:83;619:133,819:183;620:381,820:431;56:75,256:125;49:288,249:338;64:348,264:398
333.png	12:54,212:104;583:152,783:202;14:192,214:242;570:95,770:145;68:124,268:174;6:419,206:469;636:384,836:434
334.png	578:369,778:419;78:304,278:354;12:20,212:70;81:387,281:437;52:80,252:130;612:155,812:205;593:275,793:325
335.png	599:392,799:442;74:413,274:463;27:487,227:537;77:147,277:197;594:204,794:254;630:118,830:168;24:54,224:104
336.png	598:216,798:266;631:312,831:362;54:11,254:61;633:484,833:534;49:382,249:432;595:418,795:468;593:46,793:96
337.png	43:438,243:488;603:246,803:296;607:446,807:496;600:175,800:225;38:47,238:97;45:138,245:188;643:30,843:80
338.png	570:397,770:447;66:181,266:231;575:457,775:507;78:457,278:507;588:248,788:298;625:129,825:179;54:293,254:343
339.png	647:365,847:415;41:489,241:539;636:192,836:242;80:192,280:242;38:246,238:296;574:3,774:53;63:62,263:112
341.png	587:47,787:97;600:244,800:294;610:189,810:239;77:319,277:369;45:266,245:316
342.png	90:85,290:135;636:325,836:375;571:44,771:94;465:459,665:509;106:457,306:507
343.png	232:23,432:73;599:369,799:419;69:309,269:359;19:458,219:508;81:241,281:291
344.png	89:116,289:166;611:479,811:529;634:150,834:200;61:314,261:364;25:49,225:99
345.png	476:30,676:80;338:421,538:471;598:221,798:271;50:138,250:188;619:334,819:384
346.png	56:82,256:132;22:330,222:380;647:224,847:274;593:288,793:338;25:219,225:269
347.png	309:429,509:479;5:150,205:200;66:449,266:499;49:303,249:353;625:444,825:494
348.png	85:194,285:244;481:470,681:520;589:261,789:311;87:488,287:538;600:208,800:258
349.png	637:74,837:124;99:334,299:384;607:8,807:58;295:429,495:479;140:13,340:63
351.png	442:246,642:296;22:464,222:514;605:397,805:447;616:103,816:153
352.png	45:430,245:480;10:238,210:288;44:129,244:179;15:306,215:356
353.png	635:419,835:469;632:226,832:276;19:248,219:298;643:321,843:371
354.png	530:237,730:287;32:104,232:154;634:128,834:178;24:168,224:218
355.png	643:87,843:137;36:471,236:521;20:165,220:215;616:195,816:245
356.png	649:202,849:252;416:240,616:290;22:124,222:174;612:388,812:438
357.png	608:297,808:347;239:248,439:298;13:456,213:506;612:214,812:264
358.png	28:50,228:100;36:450,236:500;31:124,231:174;40:273,240:323
359.png	40:351,240:401;187:253,387:303;637:388,837:438;28:36,228:86
361.png	366:68,566:118;87:227,287:277;219:426,419:476
362.png	122:272,322:322;550:271,750:321;395:459,595:509
363.png	115:444,315:494;322:279,522:329;578:163,778:213
364.png	578:304,778:354;307:453,507:503;324:84,524:134
365.png	45:267,245:317;33:80,233:130;321:292,521:342
366.png	644:265,844:315;18:234,218:284;50:39,250:89
367.png	192:301,392:351;49:196,249:246;603:47,803:97
368.png	213:269,413:319;347:39,547:89;466:266,666:316
369.png	572:440,772:490;30:262,230:312;446:291,646:341
371.png	642:186,842:236;607:425,807:475;64:484,264:534;623:255,823:305;610:98,810:148
372.png	2:189,202:239;18:351,218:401;621:28,821:78;623:305,823:355;209:489,409:539
373.png	620:283,820:333;34:273,234:323;622:430,822:480;254:474,454:524;432:7,632:57
374.png	643:222,843:272;620:86,820:136;36:445,236:495;35:185,235:235;4:83,204:133
375.png	266:3,466:53;520:7,720:57;631:375,831:425;1:412,201:462;547:480,747:530
376.png	228:7,428:57;616:387,816:437;8:361,208:411;618:208,818:258;30:306,230:356
377.png	11:192,211:242;13:7,213:57;40:279,240:329;35:480,235:530;642:323,842:373
378.png	609:43,809:93;635:432,835:482;31:430,231:480;12:234,212:284;5:89,205:139
379.png	41:298,241:348;642:85,842:135;553:8,753:58;40:467,240:517;621:197,821:247
381.png	93:423,293:473;478:94,678:144
382.png	492:425,692:475;455:88,655:138
383.png	639:81,839:131;247:444,447:494
384.png	371:48,571:98;136:455,336:505
385.png	156:458,356:508;436:96,636:146
386.png	153:453,353:503;597:42,797:92
387.png	585:450,785:500;277:414,477:464
388.png	492:40,692:90;275:466,475:516
389.png	459:453,659:503;234:465,434:515
391.png	285:57,485:107;484:454,684:504;254:392,454:442;171:488,371:538;578:79,778:129;604:10,804:60
392.png	313:94,513:144;8:26,208:76;241:424,441:474;552:479,752:529;531:86,731:136;302:479,502:529
393.png	276:489,476:539;148:410,348:460;79:13,279:63;482:430,682:480;618:81,818:131;310:72,510:122
394.png	20:102,220:152;551:81,751:131;422:469,622:519;506:388,706:438;39:486,239:536;211:4,411:54
395.png	639:436,839:486;581:35,781:85;267:19,467:69;57:93,257:143;517:86,717:136;70:440,270:490
396.png	430:90,630:140;460:460,660:510;312:6,512:56;607:32,807:82;631:85,831:135;44:399,244:449
397.png	320:442,520:492;610:30,810:80;88:0,288:50;103:450,303:500;559:410,759:460;131:113,331:163
398.png	562:401,762:451;137:65,337:115;186:3,386:53;525:480,725:530;105:427,305:477;571:29,771:79
399.png	17:5,217:55;252:21,452:71;151:414,351:464;612:401,812:451;480:17,680:67;496:106,696:156
401.png	605:413,805:463;59:68,259:118;577:180,777:230;18:397,218:447;609:43,809:93
402.png	637:402,837:452;634:129,834:179;66:341,266:391;587:221,787:271;60:172,260:222
403.png	39:451,239:501;6:177,206:227;631:212,831:262;592:118,792:168;579:433,779:483
404.png	69:333,269:383;584:160,784:210;70:137,270:187;11:260,211:310;69:32,269:82
405.png	602:39,802:89;579:136,779:186;612:472,812:522;610:417,810:467;65:79,265:129
406.png	628:280,828:330;636:222,836:272;61:431,261:481;25:331,225:381;618:170,818:220
407.png	583:174,783:224;619:465,819:515;11:344,211:394;642:412,842:462;67:397,267:447
408.png	59:475,259:525;25:383,225:433;5:277,205:327;35:127,235:177;582:333,782:383
409.png	604:47,804:97;63:118,263:168;638:431,838:481;56:198,256:248;21:461,221:511
411.png	124:2,324:52
412.png	325:438,525:488
413.png	614:19,814:69
414.png	88:486,288:536
415.png	626:444,826:494
416.png	1:472,201:522
417.png	490:432,690:482
418.png	235:421,435:471
419.png	303:414,503:464
421.png	458:400,658:450;592:206,792:256;619:132,819:182;528:24,728:74
422.png	632:444,832:494;575:3,775:53;347:20,547:70;14:488,214:538
423.png	647:393,847:443;464:473,664:523;222:36,422:86;485:80,685:130
424.png	606:329,806:379;624:126,824:176;32:10,232:60;165:73,365:123
425.png	558:7,758:57;632:257,832:307;491:78,691:128;481:325,681:375
426.png	284:74,484:124;501:281,701:331;601:484,801:534;546:344,746:394
427.png	561:320,761:370;492:19,692:69;605:255,805:305;162:23,362:73
428.png	648:285,848:335;634:460,834:510;616:120,816:170;484:352,684:402
429.png	553:18,753:68;633:314,833:364;234:32,434:82;632:405,832:455
431.png	55:425,255:475;430:17,630:67;62:208,262:258
432.png	280:247,480:297;280:150,480:200;53:320,253:370
433.png	81:454,281:504;270:319,470:369;57:375,257:425
434.png	407:8,607:58;255:256,455:306;81:473,281:523
435.png	216:29,416:79;24:481,224:531;56:382,256:432
436.png	207:489,407:539;143:13,343:63;59:189,259:239
437.png	119:40,319:90;646:17,846:67;125:443,325:493
438.png	256:375,456:425;14:448,214:498;281:242,481:292
439.png	56:158,256:208;38:37,238:87;125:444,325:494
441.png	423:6,623:56;368:119,568:169
442.png	644:122,844:172;438:121,638:171
443.png	423:46,623:96;644:7,844:57
444.png	495:99,695:149;424:24,624:74
445.png	348:95,548:145;632:139,832:189
446.png	357:131,557:181;466:80,666:130
447.png	418:47,618:97;347:105,547:155
448.png	382:43,582:93;619:82,819:132
449.png	473:94,673:144;497:8,697:58
451.png	514:438,714:488;549:28,749:78;552:244,752:294;613:100,813:150;581:295,781:345
452.png	523:52,723:102;572:409,772:459;550:147,750:197;603:302,803:352;3:481,203:531
453.png	309:11,509:61;631:301,831:351;618:354,818:404;505:144,705:194;610:463,810:513
454.png	519:383,719:433;623:134,823:184;532:59,732:109;643:242,843:292;630:5,830:55
455.png	575:102,775:152;20:373,220:423;580:274,780:324;545:334,745:384;15:91,215:141
456.png	393:8,593:58;648:35,848:85;481:335,681:385;537:271,737:321;535:91,735:141
457.png	548:446,748:496;490:134,690:184;647:318,847:368;610:51,810:101;3:227,203:277
458.png	1:201,201:251;281:7,481:57;492:374,692:424;519:256,719:306;497:164,697:214
459.png	575:135,775:185;11:252,211:302;634:281,834:331;627:226,827:276;560:452,760:502
461.png	494:51,694:101;608:120,808:170;390:106,590:156;147:29,347:79
462.png	226:127,426:177;136:410,336:460;211:26,411:76;398:411,598:461
463.png	195:475,395:525;445:382,645:432;464:102,664:152;84:361,284:411
